country_name,delay,attendees,porc_attendees_acum,range_order
Colombia,0,1058,37.6378513,a
Colombia,15,553,57.31056564,b
Colombia,30,338,69.33475631,c
Colombia,45,200,76.44966204,d
Colombia,60,151,81.82141587,e
Colombia,75,98,85.30771967,f
Colombia,90,99,88.82959801,g
Colombia,105,71,91.35538954,h
Colombia,120,58,93.4187122,i
Colombia,> 120,185,100,j
Chile,0,181,35.91269841,a
Chile,15,58,47.42063492,b
Chile,30,40,55.35714286,c
Chile,45,38,62.8968254,d
Chile,60,33,69.44444444,e
Chile,75,31,75.5952381,f
Chile,90,30,81.54761905,g
Chile,105,18,85.11904762,h
Chile,120,27,90.47619048,i
Chile,> 120,48,100,j
France,0,162,77.14285714,a
France,15,6,80,b
France,30,10,84.76190476,c
France,45,4,86.66666667,d
France,60,8,90.47619048,e
France,75,2,91.42857143,f
France,90,0,91.42857143,g
France,105,1,91.9047619,h
France,120,0,91.9047619,i
France,> 120,17,100,j
Mexico,0,3,10.34482759,
Mexico,15,3,20.68965517,
Mexico,30,3,31.03448276,
Mexico,45,3,41.37931034,
Mexico,60,3,51.72413793,
Mexico,75,3,62.06896552,
Mexico,90,2,68.96551724,
Mexico,105,2,75.86206897,
Mexico,120,3,86.20689655,
Mexico,> 120,4,100,
Spain,0,65,74.71264368,
Spain,15,5,80.45977011,
Spain,30,9,90.8045977,
Spain,45,4,95.40229885,
Spain,60,0,95.40229885,
Spain,75,2,97.70114943,
Spain,90,0,97.70114943,
Spain,105,0,97.70114943,
Spain,120,0,97.70114943,
Spain,> 120,2,100,
